result_tag,section,role,remote_static_status,runtime_evidence,repair_action,notes
pg_a4b_bf4_conc,V03_IONICS,MAIN_TEACHING,PRESENT,FINAL_RELOAD_PASS,KEEP_OR_DUPLICATE_PRESENTATION,provisional sensitivity; exact electroneutral representation
pg_a4b_li_flux_mag,V90_SI_SUPPORT,SI_SUPPORT,PRESENT,NOT_FINAL_RELOAD_GATED,RUNTIME_AUDIT_THEN_KEEP,reduced binary NP
pg_a4b_bf4_flux_mag,V90_SI_SUPPORT,SI_SUPPORT,PRESENT,NOT_FINAL_RELOAD_GATED,RUNTIME_AUDIT_THEN_KEEP,reduced binary NP
pg_a4b_ionic_current_mag,V03_IONICS,MAIN_TEACHING,PRESENT,FINAL_RELOAD_PASS,KEEP_OR_DUPLICATE_PRESENTATION,species-flux identity
pg_a4b_cathode_current,V90_ARCHIVE,INTERMEDIATE_SUPPORT,PRESENT,NOT_FINAL_RELOAD_GATED,ARCHIVE_OR_SI,accepted A4A carried through A4B
pg_a4c_cathode_current,V04_CURRENT,MAIN_TEACHING,PRESENT,FINAL_RELOAD_PASS,KEEP_OR_DUPLICATE_PRESENTATION,real reaction plane
pg_a4c_anode_current,V90_SI_SUPPORT,SI_SUPPORT,PRESENT,FINAL_RELOAD_PASS,KEEP_OR_DUPLICATE_PRESENTATION,real reaction plane
pg_a4c_nonuniformity,V04_CURRENT,MAIN_TEACHING,PRESENT,NOT_FINAL_RELOAD_GATED,RUNTIME_AUDIT_AND_DUPLICATE,magnitude diagnostic
pg_a4c_crowding,V04_CURRENT,MAIN_TEACHING,PRESENT,NOT_FINAL_RELOAD_GATED,RUNTIME_AUDIT_AND_DUPLICATE,spatial association diagnostic
pg_a4d_rate,V90_SI_SUPPORT,SI_SUPPORT,PRESENT,NOT_FINAL_RELOAD_GATED,RUNTIME_AUDIT_THEN_KEEP,numerical upper bound f=1
pg_a4d_h9,V05_LI_EQUIVALENT,MAIN_TEACHING,PRESENT,FINAL_RELOAD_PASS,KEEP_OR_DUPLICATE_PRESENTATION,charge-indexed numerical upper bound f=1
pg_a4d_h45,V05_LI_EQUIVALENT,MAIN_TEACHING,PRESENT,FINAL_RELOAD_PASS,KEEP_OR_DUPLICATE_PRESENTATION,charge-indexed numerical upper bound f=1
pg_a4d_h54,V05_LI_EQUIVALENT,MAIN_TEACHING,PRESENT,FINAL_RELOAD_PASS,KEEP_OR_DUPLICATE_PRESENTATION,charge-indexed numerical upper bound f=1
pg_a4d_h99,V05_LI_EQUIVALENT,MAIN_TEACHING,PRESENT,FINAL_RELOAD_PASS,KEEP_OR_DUPLICATE_PRESENTATION,charge-indexed numerical upper bound f=1
pg_a4d_h297,V05_LI_EQUIVALENT,MAIN_TEACHING,PRESENT,FINAL_RELOAD_PASS,KEEP_OR_DUPLICATE_PRESENTATION,charge-indexed numerical upper bound f=1
pg_a4e_n2_current,V06_COLIMITATION,MAIN_TEACHING,PRESENT,FINAL_RELOAD_PASS,KEEP_OR_DUPLICATE_PRESENTATION,diagnostic only
pg_a4e_donor_current,V06_COLIMITATION,MAIN_TEACHING,PRESENT,FINAL_RELOAD_PASS,KEEP_OR_DUPLICATE_PRESENTATION,generic donor; calibration required
pg_a4e_colim,V06_COLIMITATION,MAIN_TEACHING,PRESENT,FINAL_RELOAD_PASS,KEEP_OR_DUPLICATE_PRESENTATION,diagnostic only
pg_a4e_robust,V06_COLIMITATION,MAIN_SUPPORT,PRESENT,NOT_FINAL_RELOAD_GATED,RUNTIME_AUDIT_AND_DUPLICATE,q=0.40/0.50/0.60 robustness
pg_a4loss_phi,V07_ELECTRICAL,SI_SUPPORT,PRESENT,NOT_FINAL_RELOAD_GATED,RUNTIME_AUDIT_THEN_KEEP,not full-cell voltage
pg_a4loss_joule,V07_ELECTRICAL,SI_SUPPORT,PRESENT,FINAL_RELOAD_PASS,KEEP_OR_DUPLICATE_PRESENTATION,no thermal feedback
