sample_id,replicate_id,case_id,case_type,file_path,data_origin,frequency_unit,impedance_unit,temperature_K,electrolyte_composition,water_content,instrument,perturbation_amplitude_V,dc_bias_V,measurement_date,area_basis,EIS_area_m2,intercept_method,equivalent_circuit,source_reference,status,notes,expected_outcome,expected_hfr_ohm,fitting_software,fit_file,Rs_ohm,Rs_standard_error_ohm,fit_quality_metric,fit_quality_value,fixture_group,rs_fixture_ohm,rct_ohm,capacitance_F,noise_seed,noise_sigma_ohm,max_frequency_Hz,point_count,accuracy_threshold_relative
S_DISAGREE,R1,C015,THREE_REPLICATES_WITH_DISAGREEMENT,tests/fixtures/M03A_2/C015_replicate_disagree_1.csv,SYNTHETIC,Hz,ohm,298.15,SYNTHETIC_ELECTROLYTE,NOT_APPLICABLE,SYNTHETIC_GENERATOR,0.01,0,NOT_APPLICABLE,geometric_electrode_area,0.003025,HIGH_FREQUENCY_INTERCEPT,Rs + (Rct || Cdl),M03A2_SYNTHETIC_CONTRACT,SYNTHETIC_FIXTURE,disagree replicate 1,REPLICATE_DISAGREEMENT,2,,,,,,,DISAGREE,2,8,0.001,,,1000000,61,0.05
S_DISAGREE,R2,C016,THREE_REPLICATES_WITH_DISAGREEMENT,tests/fixtures/M03A_2/C016_replicate_disagree_2.csv,SYNTHETIC,Hz,ohm,298.15,SYNTHETIC_ELECTROLYTE,NOT_APPLICABLE,SYNTHETIC_GENERATOR,0.01,0,NOT_APPLICABLE,geometric_electrode_area,0.003025,HIGH_FREQUENCY_INTERCEPT,Rs + (Rct || Cdl),M03A2_SYNTHETIC_CONTRACT,SYNTHETIC_FIXTURE,disagree replicate 2,REPLICATE_DISAGREEMENT,2.1,,,,,,,DISAGREE,2.1,8,0.001,,,1000000,61,0.05
S_DISAGREE,R3,C017,THREE_REPLICATES_WITH_DISAGREEMENT,tests/fixtures/M03A_2/C017_replicate_disagree_3.csv,SYNTHETIC,Hz,ohm,298.15,SYNTHETIC_ELECTROLYTE,NOT_APPLICABLE,SYNTHETIC_GENERATOR,0.01,0,NOT_APPLICABLE,geometric_electrode_area,0.003025,HIGH_FREQUENCY_INTERCEPT,Rs + (Rct || Cdl),M03A2_SYNTHETIC_CONTRACT,SYNTHETIC_FIXTURE,deliberate outlier retained,REPLICATE_DISAGREEMENT,3,,,,,,,DISAGREE,3,8,0.001,,,1000000,61,0.05
S_C018,R1,C018,NEGATIVE_DEEMBEDDED_RESISTANCE,tests/fixtures/M03A_2/C018_negative_deembedded.csv,SYNTHETIC,Hz,ohm,298.15,SYNTHETIC_ELECTROLYTE,NOT_APPLICABLE,SYNTHETIC_GENERATOR,0.01,0,NOT_APPLICABLE,geometric_electrode_area,0.003025,HIGH_FREQUENCY_INTERCEPT,,M03A2_SYNTHETIC_CONTRACT,SYNTHETIC_FIXTURE,ledger negative regression,BLOCKED_NEGATIVE_DEEMBEDDED_RESISTANCE,0.4,,,,,,,NONE,0.4,0,0,,,1000000,41,0.05
S_C019,R1,C019,AREA_BASIS_CONFLICT,tests/fixtures/M03A_2/C019_area_basis_conflict.csv,SYNTHETIC,Hz,ohm,298.15,SYNTHETIC_ELECTROLYTE,NOT_APPLICABLE,SYNTHETIC_GENERATOR,0.01,0,NOT_APPLICABLE,EIS_area,0.0025,HIGH_FREQUENCY_INTERCEPT,Rs + (Rct || Cdl),M03A2_SYNTHETIC_CONTRACT,SYNTHETIC_FIXTURE,no complete area mapping,AREA_BASIS_MISMATCH,2,,,,,,,NONE,2,8,0.001,,,1000000,61,0.05
S_C020,R1,C020,CONDUCTIVITY_CONFLICT,tests/fixtures/M03A_2/C020_conductivity_conflict.csv,SYNTHETIC,Hz,ohm,298.15,SYNTHETIC_ELECTROLYTE,NOT_APPLICABLE,SYNTHETIC_GENERATOR,0.01,0,NOT_APPLICABLE,EIS_area,0.003025,HIGH_FREQUENCY_INTERCEPT,Rs + (Rct || Cdl),M03A2_SYNTHETIC_CONTRACT,SYNTHETIC_FIXTURE,direct and HFR conflict,CALIBRATION_CONFLICT,2,,,,,,,NONE,2,8,0.001,,,1000000,61,0.05
S_C021,R1,C021,FAILED_INPUT_DISTRIBUTION,tests/fixtures/M03A_2/C021_failed_distribution.csv,SYNTHETIC,Hz,ohm,298.15,SYNTHETIC_ELECTROLYTE,NOT_APPLICABLE,SYNTHETIC_GENERATOR,0.01,0,NOT_APPLICABLE,EIS_area,0.003025,HIGH_FREQUENCY_INTERCEPT,Rs + (Rct || Cdl),M03A2_SYNTHETIC_CONTRACT,SYNTHETIC_FIXTURE,MC rejection regression,FAILED_INPUT_DISTRIBUTION,2,,,,,,,NONE,2,8,0.001,,,1000000,61,0.05
S_C022,R1,C022,MISSING_SERIES_COMPONENT,tests/fixtures/M03A_2/C022_missing_series_component.csv,SYNTHETIC,Hz,ohm,298.15,SYNTHETIC_ELECTROLYTE,NOT_APPLICABLE,SYNTHETIC_GENERATOR,0.01,0,NOT_APPLICABLE,EIS_area,0.003025,HIGH_FREQUENCY_INTERCEPT,Rs + (Rct || Cdl),M03A2_SYNTHETIC_CONTRACT,SYNTHETIC_FIXTURE,missing provenance regression,BLOCKED_MISSING_SERIES_COMPONENT,2,,,,,,,NONE,2,8,0.001,,,1000000,61,0.05
EXP_C023,R1,C023,EXPERIMENTAL_MANIFEST_INCOMPLETE,tests/fixtures/M03A_2/C023_deliberately_missing_experimental.csv,EXPERIMENTAL,Hz,ohm,,,,,0.01,0,,EIS_area,,HIGH_FREQUENCY_INTERCEPT,,,INCOMPLETE_BY_DESIGN,no file and no critical provenance,EXPERIMENTAL_INPUT_INCOMPLETE,,,,,,,,NONE,,,,,,,,
S_C024,R1,C024,UNIT_KHZ_MILLIOHM,tests/fixtures/M03A_2/C024_units_khz_mohm.csv,SYNTHETIC,kHz,mohm,298.15,SYNTHETIC_ELECTROLYTE,NOT_APPLICABLE,SYNTHETIC_GENERATOR,0.01,0,NOT_APPLICABLE,EIS_area,0.003025,HIGH_FREQUENCY_INTERCEPT,Rs + (Rct || Cdl),M03A2_SYNTHETIC_CONTRACT,SYNTHETIC_FIXTURE,mohm is milliohm,PASS,2,,,,,,,NONE,2,8,0.001,,,1000000,61,0.01
S_C025,R1,C025,USER_DEFINED_EQUIVALENT_CIRCUIT,tests/fixtures/M03A_2/C025_user_defined_ec.csv,SYNTHETIC,Hz,ohm,298.15,SYNTHETIC_ELECTROLYTE,NOT_APPLICABLE,SYNTHETIC_GENERATOR,0.01,0,NOT_APPLICABLE,EIS_area,0.003025,USER_DEFINED_EQUIVALENT_CIRCUIT,Rs + (Rct || Cdl),M03A2_C025_SYNTHETIC_FIT,SUPPORTED_SYNTHETIC_RANDLES_ONLY,contract values are declared not inferred from first point,SUPPORTED_SYNTHETIC_RANDLES_ONLY,2,M03A2_INTERNAL_SYNTHETIC_RANDLES_REGRESSION,tests/fixtures/M03A_2/C025_user_defined_ec.csv,2,0.01,normalized_RMSE,0.001,NONE,2,8,0.001,,,1000000,61,0.01
S_C026,R1,C026,ZERO_DEEMBEDDED_RESISTANCE,tests/fixtures/M03A_2/C026_zero_deembedded.csv,SYNTHETIC,Hz,ohm,298.15,SYNTHETIC_ELECTROLYTE,NOT_APPLICABLE,SYNTHETIC_GENERATOR,0.01,0,NOT_APPLICABLE,EIS_area,0.003025,HIGH_FREQUENCY_INTERCEPT,,M03A2_SYNTHETIC_CONTRACT,SYNTHETIC_FIXTURE,ledger zero regression,BLOCKED_NONPOSITIVE_DEEMBEDDED_RESISTANCE,0.5,,,,,,,NONE,0.5,0,0,,,1000000,41,0.05
S_C027,R1,C027,DUPLICATE_AND_UNSORTED,tests/fixtures/M03A_2/C027_duplicate_unsorted.csv,SYNTHETIC,Hz,ohm,298.15,SYNTHETIC_ELECTROLYTE,NOT_APPLICABLE,SYNTHETIC_GENERATOR,0.01,0,NOT_APPLICABLE,EIS_area,0.003025,HIGH_FREQUENCY_INTERCEPT,Rs + (Rct || Cdl),M03A2_SYNTHETIC_CONTRACT,SYNTHETIC_FIXTURE,duplicate and sort regression,WARNING_DUPLICATE_FREQUENCY,2,,,,,,,NONE,2,8,0.001,,,1000000,61,0.05
S_C028,R1,C028,UNIT_MHZ_MILLIOHM,tests/fixtures/M03A_2/C028_units_mhz_mohm.csv,SYNTHETIC,mHz,mohm,298.15,SYNTHETIC_ELECTROLYTE,NOT_APPLICABLE,SYNTHETIC_GENERATOR,0.01,0,NOT_APPLICABLE,EIS_area,0.003025,HIGH_FREQUENCY_INTERCEPT,Rs + (Rct || Cdl),M03A2_SYNTHETIC_CONTRACT,SYNTHETIC_FIXTURE,mHz conversion regression,PASS,2,,,,,,,NONE,2,8,0.001,,,1000000,61,0.01
S_C029,R1,C029,UNIT_MEGAHERTZ,tests/fixtures/M03A_2/C029_units_MHz.csv,SYNTHETIC,MHz,ohm,298.15,SYNTHETIC_ELECTROLYTE,NOT_APPLICABLE,SYNTHETIC_GENERATOR,0.01,0,NOT_APPLICABLE,EIS_area,0.003025,HIGH_FREQUENCY_INTERCEPT,Rs + (Rct || Cdl),M03A2_SYNTHETIC_CONTRACT,SYNTHETIC_FIXTURE,MHz conversion distinct from mHz,PASS,2,,,,,,,NONE,2,8,0.001,,,1000000,61,0.01
S_C030,R1,C030,HIGH_FREQUENCY_FAR_FROM_REAL_AXIS,tests/fixtures/M03A_2/C030_hf_far_from_real_axis.csv,SYNTHETIC,Hz,ohm,298.15,SYNTHETIC_ELECTROLYTE,NOT_APPLICABLE,SYNTHETIC_GENERATOR,0.01,0,NOT_APPLICABLE,EIS_area,0.003025,HIGH_FREQUENCY_INTERCEPT,Rs + (Rct || Cdl),M03A2_SYNTHETIC_CONTRACT,SYNTHETIC_FIXTURE,high frequency but no near-axis support,BLOCKED_INSUFFICIENT_HIGH_FREQUENCY_COVERAGE,2,,,,,,,NONE,2,8,0.00000001,,,1000000,61,
S_C031,R1,C031,AMBIGUOUS_UNICODE_IMPEDANCE_UNIT,tests/fixtures/M03A_2/C031_unicode_unit.csv,SYNTHETIC,Hz,mΩ,298.15,SYNTHETIC_ELECTROLYTE,NOT_APPLICABLE,SYNTHETIC_GENERATOR,0.01,0,NOT_APPLICABLE,EIS_area,0.003025,HIGH_FREQUENCY_INTERCEPT,,M03A2_SYNTHETIC_CONTRACT,SYNTHETIC_FIXTURE,Unicode unit is blocked rather than guessed,BLOCKED_UNSUPPORTED_IMPEDANCE_UNIT,2,,,,,,,NONE,2,0,0,,,1000000,41,
S_C032,R1,C032,EQUIVALENT_CIRCUIT_CONTRACT_INCOMPLETE,tests/fixtures/M03A_2/C032_ec_incomplete.csv,SYNTHETIC,Hz,ohm,298.15,SYNTHETIC_ELECTROLYTE,NOT_APPLICABLE,SYNTHETIC_GENERATOR,0.01,0,NOT_APPLICABLE,EIS_area,0.003025,USER_DEFINED_EQUIVALENT_CIRCUIT,,,,missing circuit fit quality source and Rs,BLOCKED_EQUIVALENT_CIRCUIT_CONTRACT,2,,,,,,,NONE,2,8,0.001,,,1000000,61,
S_C033,R1,C033,LEGACY_SYNTHETIC_FIXTURE_PRESERVED,tests/fixtures/M03A_2/C023_no_real_data.csv,SYNTHETIC,Hz,ohm,298.15,SYNTHETIC_ELECTROLYTE,NOT_APPLICABLE,SYNTHETIC_GENERATOR,0.01,0,NOT_APPLICABLE,EIS_area,0.003025,HIGH_FREQUENCY_INTERCEPT,Rs + (Rct || Cdl),M03A2_LEGACY_SYNTHETIC_FIXTURE,SYNTHETIC_FIXTURE,legacy filename retained but explicitly not experimental,PASS,2,,,,,,,NONE,2,8,0.001,,,1000000,61,0.01
