"artifact_id","scientific_topic","repository_path","stage","SHA256","classification","paper_section","figure_panel","claim_ids","notes"
"SRC_C15","N2-current overlap is a spatial association diagnostic.","results/tables/M10A4_spatial_colimitation.csv","Results","F1D3435E1BEF95DA1DD259B24E707B7A738AA2133CEDD59F2253D5EE9D755454","DIAGNOSTIC_ONLY","Results","F6","C15","SUPPORTED"
"SRC_C16","Donor-current overlap is generic and calibration-required.","results/tables/M10A4_spatial_colimitation.csv","Results","F1D3435E1BEF95DA1DD259B24E707B7A738AA2133CEDD59F2253D5EE9D755454","DIAGNOSTIC_ONLY","Results","F6","C16","SUPPORTED_WITH_LIMITATION"
"SRC_C17","N2/Li+/donor/current categories form a threshold-sensitive spatial diagnostic.","results/tables/M10A4_spatial_colimitation.csv","Results","F1D3435E1BEF95DA1DD259B24E707B7A738AA2133CEDD59F2253D5EE9D755454","DIAGNOSTIC_ONLY","Results","F6","C17","SUPPORTED"
"SRC_C18","Coarse-to-medium maximum key difference is 0.0621400622644018.","results/tables/M10A4_mesh_convergence.csv","Robustness","EF60A87CDCC1D594046E1E52133CFBEAAD65753CC5F998DAD700D66599E733B9","PASS_WITH_LIMITATION","Robustness","F7","C18","SUPPORTED_WITH_LIMITATION"
"SRC_C19","Model electrolyte ohmic resistance is 11.016992179201 ohm.","results/tables/M10A4_resistance_audit.csv","Discussion","B4A3F6E8F446C4004D1B9BFE0CAA176B211A3D13B75CF5ACD6009D709874A507","DERIVED_DIAGNOSTIC","Discussion","F7","C19","SUPPORTED_WITH_LIMITATION"
"SRC_C20","Key ionic and donor parameters require calibration.","results/tables/M10A4_calibration_required.csv","Limitations","75CEC281762E1375E9E878F96FC55C4D9CFABF7C65CDEC1BA078173DF5B94839","EVIDENCE_GAP","Limitations",,"C20","SUPPORTED"
"SRC_C21","Paper V1 does not establish SEI, Li3N, Li-NRR, HER, or HOR mechanisms.","evidence/M10A4/physics_inventory.csv","Limitations","28350108DCADA06DAD2A7D9A9CBE1754D4C787BCBE57B3ECA8C10D119A30A55A","OUT_OF_SCOPE","Limitations",,"C21","UNSUPPORTED_IN_PAPER_V1_MODEL"
"SRC_C22","Paper V1 has an experimental-validation gap for spatial predictions.","paper/v1/MODEL_LIMITATIONS.csv","Limitations","60E30C06BB56D286D6F46C718E2276E05FF3E70F769679366ED9ED4E1E18C080","EVIDENCE_GAP","Limitations",,"C22","SUPPORTED"
"PKG_MODEL_SCOPE","Paper V1 freeze evidence package","paper/v1/MODEL_SCOPE.md","PAPER_V1","DAABD84E76CB0C90FB6653D19A6CED48900665E3940DFB07ED2CBAADDF050C57","DERIVED_FROM_ACCEPTED_EVIDENCE","Evidence package","","C01-C22","Generated or copied reproducibly; see manifest for immutable byte identity"
"PKG_PARAMETER_PROVENANCE","Paper V1 freeze evidence package","paper/v1/PARAMETER_PROVENANCE.csv","PAPER_V1","02FA87584171946138B7E7BD1D8566846E6668554F75420CA3322D3BC8AF0461","DERIVED_FROM_ACCEPTED_EVIDENCE","Evidence package","","C01-C22","Generated or copied reproducibly; see manifest for immutable byte identity"
"PKG_CLAIM_EVIDENCE_MATRIX","Paper V1 freeze evidence package","paper/v1/CLAIM_EVIDENCE_MATRIX.csv","PAPER_V1","7C9B413F3B01934388D4EFE63E519C969F5D91798E87E0109828C462157AB1C1","DERIVED_FROM_ACCEPTED_EVIDENCE","Evidence package","","C01-C22","Generated or copied reproducibly; see manifest for immutable byte identity"
"PKG_REGRESSION_EVIDENCE","Paper V1 freeze evidence package","paper/v1/REGRESSION_EVIDENCE.csv","PAPER_V1","C54ABB459EEF73332BF7B105D96F06239FA8184B5B37657206EEAD31F45D0EEB","DERIVED_FROM_ACCEPTED_EVIDENCE","Evidence package","","C01-C22","Generated or copied reproducibly; see manifest for immutable byte identity"
"PKG_MODEL_LIMITATIONS","Paper V1 freeze evidence package","paper/v1/MODEL_LIMITATIONS.csv","PAPER_V1","60E30C06BB56D286D6F46C718E2276E05FF3E70F769679366ED9ED4E1E18C080","DERIVED_FROM_ACCEPTED_EVIDENCE","Evidence package","","C01-C22","Generated or copied reproducibly; see manifest for immutable byte identity"
"PKG_MODEL_FREEZE_REPORT","Paper V1 freeze evidence package","paper/v1/MODEL_FREEZE_REPORT.md","PAPER_V1","E5973C792B2641FC4972F06B516F730226A13AC73425E76EDDA68E6A4E91695A","DERIVED_FROM_ACCEPTED_EVIDENCE","Evidence package","","C01-C22","Generated or copied reproducibly; see manifest for immutable byte identity"
"PKG_figure_manifest","Paper V1 freeze evidence package","paper/v1/figures/figure_manifest.csv","PAPER_V1","FF03E87FBB40713F5BD5AFBAD266DBF66FEDDF0B70E073D36BE25EA34E85799F","DERIVED_FROM_ACCEPTED_EVIDENCE","Evidence package","","C01-C22","Generated or copied reproducibly; see manifest for immutable byte identity"
"PKG_FIGURE_QA","Paper V1 freeze evidence package","paper/v1/figures/FIGURE_QA.csv","PAPER_V1","FB9D37EDC3AD95CCCBD6E40FAF3DCD3234C3B3FC8BF0A7C675F0B9C12863FE06","DERIVED_FROM_ACCEPTED_EVIDENCE","Evidence package","","C01-C22","Generated or copied reproducibly; see manifest for immutable byte identity"
"PKG_Figure1_verification_first_architecture","Paper V1 freeze evidence package","paper/v1/figures/Figure1_verification_first_architecture.png","PAPER_V1","3CFEEB1ED79FCEBD63FA724E65D7EFB1BE5BE55879BEF9DA39DB74A95EDB5F8A","DERIVED_FROM_ACCEPTED_EVIDENCE","Evidence package","F1","C01-C22","Generated or copied reproducibly; see manifest for immutable byte identity"
"PKG_Figure2_real_cell_geometry_flow","Paper V1 freeze evidence package","paper/v1/figures/Figure2_real_cell_geometry_flow.png","PAPER_V1","CA0003B5445C17B6FB18948B618949198E77F3A713C1E124D31B048E7A886D5B","DERIVED_FROM_ACCEPTED_EVIDENCE","Evidence package","F2","C01-C22","Generated or copied reproducibly; see manifest for immutable byte identity"
"PKG_Figure3_neutral_ionic_transport","Paper V1 freeze evidence package","paper/v1/figures/Figure3_neutral_ionic_transport.png","PAPER_V1","28429B031FC9D800DF29A85390EC6F807FF9C43ECBF4630AC0270B16285DFB6C","DERIVED_FROM_ACCEPTED_EVIDENCE","Evidence package","F3","C01-C22","Generated or copied reproducibly; see manifest for immutable byte identity"
"PKG_Figure4_current_distribution","Paper V1 freeze evidence package","paper/v1/figures/Figure4_current_distribution.png","PAPER_V1","7400B7BCD8D9C25E06D87BAFDD88A5B4924192B11091BB6B2638324BD306ADAB","DERIVED_FROM_ACCEPTED_EVIDENCE","Evidence package","F4","C01-C22","Generated or copied reproducibly; see manifest for immutable byte identity"
"PKG_Figure5_li_equivalent_charge_program","Paper V1 freeze evidence package","paper/v1/figures/Figure5_li_equivalent_charge_program.png","PAPER_V1","6A37B556B0EAA0BA1B4BDF9298702898E594B1ABBB1E4F958C8832188A349766","DERIVED_FROM_ACCEPTED_EVIDENCE","Evidence package","F5","C01-C22","Generated or copied reproducibly; see manifest for immutable byte identity"
"PKG_Figure6_spatial_colimitation","Paper V1 freeze evidence package","paper/v1/figures/Figure6_spatial_colimitation.png","PAPER_V1","4B4F78F86F9676AC532785BCDE56CE43D8DB064EE0EEBEAB6402B9D3B849785A","DERIVED_FROM_ACCEPTED_EVIDENCE","Evidence package","F6","C01-C22","Generated or copied reproducibly; see manifest for immutable byte identity"
"PKG_Figure7_robustness_identifiability","Paper V1 freeze evidence package","paper/v1/figures/Figure7_robustness_identifiability.png","PAPER_V1","E3459F9D8B9DB76BB3C8D6E25431C083276670070BDDBD3B09751C0036804CAD","DERIVED_FROM_ACCEPTED_EVIDENCE","Evidence package","F7","C01-C22","Generated or copied reproducibly; see manifest for immutable byte identity"
"PKG_dataset_inventory","Paper V1 freeze evidence package","paper/v1/supplement/dataset_inventory.csv","PAPER_V1","CDE1DEC7A664ACAC40D9C4AD3A3591E8B8C56104A5848021F10389A8C71DD495","DERIVED_FROM_ACCEPTED_EVIDENCE","Evidence package","","C01-C22","Generated or copied reproducibly; see manifest for immutable byte identity"
"PKG_M10A4_calibration_required","Paper V1 freeze evidence package","paper/v1/supplement/M10A4_calibration_required.csv","PAPER_V1","75CEC281762E1375E9E878F96FC55C4D9CFABF7C65CDEC1BA078173DF5B94839","DERIVED_FROM_ACCEPTED_EVIDENCE","Evidence package","","C01-C22","Generated or copied reproducibly; see manifest for immutable byte identity"
"PKG_M10A4_charge_conservation","Paper V1 freeze evidence package","paper/v1/supplement/M10A4_charge_conservation.csv","PAPER_V1","F014103B8DFD4A99663C82AFF06FA3F1D2208F3E469499826C1DE2E1C721F9BD","DERIVED_FROM_ACCEPTED_EVIDENCE","Evidence package","","C01-C22","Generated or copied reproducibly; see manifest for immutable byte identity"
"PKG_M10A4_current_distribution_statistics","Paper V1 freeze evidence package","paper/v1/supplement/M10A4_current_distribution_statistics.csv","PAPER_V1","2D871C2F86FB84205958BCFC0B13FFFEEB72937A81324953C7A282F80072E508","DERIVED_FROM_ACCEPTED_EVIDENCE","Evidence package","","C01-C22","Generated or copied reproducibly; see manifest for immutable byte identity"
"PKG_M10A4_final_report","Paper V1 freeze evidence package","paper/v1/supplement/M10A4_final_report.txt","PAPER_V1","6E0ED21B73318A151262CC9653941EAD0770F1B7FAEFE8908E9D6A029198E016","DERIVED_FROM_ACCEPTED_EVIDENCE","Evidence package","","C01-C22","Generated or copied reproducibly; see manifest for immutable byte identity"
"PKG_M10A4_ionic_species_conservation","Paper V1 freeze evidence package","paper/v1/supplement/M10A4_ionic_species_conservation.csv","PAPER_V1","EEDDBA6F44A1D9EF4BCAFE0ED18D8EEACCC139B6C79AEADBCC5BDD013FFD44A0","DERIVED_FROM_ACCEPTED_EVIDENCE","Evidence package","","C01-C22","Generated or copied reproducibly; see manifest for immutable byte identity"
"PKG_M10A4_li_faraday_ledger","Paper V1 freeze evidence package","paper/v1/supplement/M10A4_li_faraday_ledger.csv","PAPER_V1","BDCF94562D4D0AB85ED3214CD7544CE6F4D269F395245AF218EBDFE0E2BE2512","DERIVED_FROM_ACCEPTED_EVIDENCE","Evidence package","","C01-C22","Generated or copied reproducibly; see manifest for immutable byte identity"
"PKG_M10A4_mesh_convergence","Paper V1 freeze evidence package","paper/v1/supplement/M10A4_mesh_convergence.csv","PAPER_V1","EF60A87CDCC1D594046E1E52133CFBEAAD65753CC5F998DAD700D66599E733B9","DERIVED_FROM_ACCEPTED_EVIDENCE","Evidence package","","C01-C22","Generated or copied reproducibly; see manifest for immutable byte identity"
"PKG_M10A4_parameter_provenance","Paper V1 freeze evidence package","paper/v1/supplement/M10A4_parameter_provenance.csv","PAPER_V1","8B5C4B3041820082F7AD745E7FD6A3F8B23AC77BFF6DE46AE5F61D51BE40826A","DERIVED_FROM_ACCEPTED_EVIDENCE","Evidence package","","C01-C22","Generated or copied reproducibly; see manifest for immutable byte identity"
"PKG_M10A4_spatial_colimitation","Paper V1 freeze evidence package","paper/v1/supplement/M10A4_spatial_colimitation.csv","PAPER_V1","F1D3435E1BEF95DA1DD259B24E707B7A738AA2133CEDD59F2253D5EE9D755454","DERIVED_FROM_ACCEPTED_EVIDENCE","Evidence package","","C01-C22","Generated or copied reproducibly; see manifest for immutable byte identity"
"PKG_M10_preA4_regression_summary","Paper V1 freeze evidence package","paper/v1/supplement/M10_preA4_regression_summary.csv","PAPER_V1","B5552C7DFE7D3A2318533F4EF0EBFD27EBA19BFAD89244BB0F7DEAD6C1AC4A2E","DERIVED_FROM_ACCEPTED_EVIDENCE","Evidence package","","C01-C22","Generated or copied reproducibly; see manifest for immutable byte identity"
"PKG_model_tree","Paper V1 freeze evidence package","paper/v1/supplement/model_tree.json","PAPER_V1","D68A5A2B46813D2B68ECBAD655CE87307D89A74DAF0213690B4A57C8A51DE36F","DERIVED_FROM_ACCEPTED_EVIDENCE","Evidence package","","C01-C22","Generated or copied reproducibly; see manifest for immutable byte identity"
"PKG_physics_inventory","Paper V1 freeze evidence package","paper/v1/supplement/physics_inventory.csv","PAPER_V1","28350108DCADA06DAD2A7D9A9CBE1754D4C787BCBE57B3ECA8C10D119A30A55A","DERIVED_FROM_ACCEPTED_EVIDENCE","Evidence package","","C01-C22","Generated or copied reproducibly; see manifest for immutable byte identity"
"PKG_README","Paper V1 freeze evidence package","paper/v1/supplement/README.md","PAPER_V1","3C29095E55C2D00997C0409A281283D8C92D7AB9895587DEBF4098AA717F4017","DERIVED_FROM_ACCEPTED_EVIDENCE","Evidence package","","C01-C22","Generated or copied reproducibly; see manifest for immutable byte identity"
"PKG_selection_inventory","Paper V1 freeze evidence package","paper/v1/supplement/selection_inventory.csv","PAPER_V1","23BC4D2790E63A3ECDA63A2BF9318F9D1B9CE1B19EF2DFD56E0EA6D6B097DD94","DERIVED_FROM_ACCEPTED_EVIDENCE","Evidence package","","C01-C22","Generated or copied reproducibly; see manifest for immutable byte identity"
