"quantity","historical_value","corrective_value","unit","identical","source_historical","source_corrective","status","notes"
"J_CATH_STD","3.09576680867327","3.09576680867327","A/m2","TRUE","paper-v1-model-freeze:evidence/M10A4/M10A4_final_report.txt","evidence/M10A4/M10A4_final_report.txt","PASS","Exact string comparison; accepted scientific evidence is immutable."
"J_CATH_CV","0.309354151871061","0.309354151871061","1","TRUE","paper-v1-model-freeze:evidence/M10A4/M10A4_final_report.txt","evidence/M10A4/M10A4_final_report.txt","PASS","Exact string comparison; accepted scientific evidence is immutable."
"LI_EQUIVALENT_MASS_9C_F1","6.47445561157042e-07","6.47445561157042e-07","NA","TRUE","paper-v1-model-freeze:evidence/M10A4/M10A4_final_report.txt","evidence/M10A4/M10A4_final_report.txt","PASS","Exact string comparison; accepted scientific evidence is immutable."
"LI_EQUIVALENT_MASS_45C_F1","3.23722780578521e-06","3.23722780578521e-06","NA","TRUE","paper-v1-model-freeze:evidence/M10A4/M10A4_final_report.txt","evidence/M10A4/M10A4_final_report.txt","PASS","Exact string comparison; accepted scientific evidence is immutable."
"LI_EQUIVALENT_MASS_54C_F1","3.88467336694225e-06","3.88467336694225e-06","NA","TRUE","paper-v1-model-freeze:evidence/M10A4/M10A4_final_report.txt","evidence/M10A4/M10A4_final_report.txt","PASS","Exact string comparison; accepted scientific evidence is immutable."
"LI_EQUIVALENT_MASS_99C_F1","7.12190117272746e-06","7.12190117272746e-06","NA","TRUE","paper-v1-model-freeze:evidence/M10A4/M10A4_final_report.txt","evidence/M10A4/M10A4_final_report.txt","PASS","Exact string comparison; accepted scientific evidence is immutable."
"LI_EQUIVALENT_MASS_297C_F1","2.13657035181824e-05","2.13657035181824e-05","NA","TRUE","paper-v1-model-freeze:evidence/M10A4/M10A4_final_report.txt","evidence/M10A4/M10A4_final_report.txt","PASS","Exact string comparison; accepted scientific evidence is immutable."
"LI_EQUIVALENT_MEAN_THICKNESS_297C_F1","1.04086058131269e-05","1.04086058131269e-05","NA","TRUE","paper-v1-model-freeze:evidence/M10A4/M10A4_final_report.txt","evidence/M10A4/M10A4_final_report.txt","PASS","Exact string comparison; accepted scientific evidence is immutable."
"FARADAY_LEDGER_MAX_RELATIVE","1.43543987022242E-16","1.43543987022242E-16","1","TRUE","paper-v1-model-freeze:evidence/M10A4/M10A4_final_report.txt","evidence/M10A4/M10A4_final_report.txt","PASS","Exact string comparison; accepted scientific evidence is immutable."
"SPATIAL_COLIMITATION_THRESHOLD_SET","0.40,0.50,0.60","0.40,0.50,0.60","NA","TRUE","paper-v1-model-freeze:evidence/M10A4/M10A4_final_report.txt","evidence/M10A4/M10A4_final_report.txt","PASS","Exact string comparison; accepted scientific evidence is immutable."
"MESH_MAX_KEY_DIFFERENCE","0.0621400622644018","0.0621400622644018","1","TRUE","paper-v1-model-freeze:evidence/M10A4/M10A4_final_report.txt","evidence/M10A4/M10A4_final_report.txt","PASS","Exact string comparison; accepted scientific evidence is immutable."
"MESH_LIMITING_METRIC","colim_MIXED_UNCLASSIFIED","colim_MIXED_UNCLASSIFIED","NA","TRUE","paper-v1-model-freeze:evidence/M10A4/M10A4_final_report.txt","evidence/M10A4/M10A4_final_report.txt","PASS","Exact string comparison; accepted scientific evidence is immutable."
"FINAL_MPH_SHA256","FADEEA4D8ADF9E472B4B855B05E39C22EF418214C0F62FB0C1977ACA36DA667B","FADEEA4D8ADF9E472B4B855B05E39C22EF418214C0F62FB0C1977ACA36DA667B","NA","TRUE","paper-v1-model-freeze:evidence/M10A4/M10A4_final_report.txt","evidence/M10A4/M10A4_final_report.txt","PASS","Exact string comparison; accepted scientific evidence is immutable."
