"claim_id","section","claim_text","claim_type","evidence_required","model_artifact","experimental_artifact","literature_source","authority_level","current_support","allowed_wording","forbidden_wording","remaining_gap"
"C11","Results","The real-cell model predicts a spatially nonuniform cathode current field.","REAL_CELL_MODEL_PREDICTION","area-weighted distribution table","results/tables/M10A4_current_distribution_statistics.csv","","","MODEL_EVIDENCE","SUPPORTED_WITH_MODEL_SCOPE","the real-cell model predicts a spatially nonuniform current field","the reactor experimentally exhibits this current map","segmented-electrode or imaging data"
"C12","Results","Cathode current-magnitude CV is 0.309354151871061.","DERIVED_DIAGNOSTIC","area-weighted statistics","results/tables/M10A4_current_distribution_statistics.csv","","","DERIVED_DIAGNOSTIC","SUPPORTED","area-weighted model current CV","experimentally measured current CV","spatial current measurement"
"C13","Results","Charge-indexed lithium inventory is Faraday-equivalent.","DERIVED_DIAGNOSTIC","Faraday ledger","results/tables/M10A4_li_faraday_ledger.csv","","","NUMERICAL_UPPER_BOUND","SUPPORTED_WITH_LIMITATION","Faraday-equivalent lithium inventory","predicted deposited metallic-lithium thickness","retained-Li mass/thickness measurements"
"C14","Results","The 297 C Li-equivalent thickness field has CV 0.309354151871061 at fLi=1.","PROVISIONAL_SENSITIVITY_RESULT","Faraday ledger and map","results/tables/M10A4_li_faraday_ledger.csv","","","NUMERICAL_UPPER_BOUND","SUPPORTED_WITH_LIMITATION","297 C Li-equivalent Faradaic thickness heterogeneity","real Li thickness prediction","retained-Li imaging/quantification"
"C15","Results","N2-current overlap is a spatial association diagnostic.","DERIVED_DIAGNOSTIC","co-limitation table","results/tables/M10A4_spatial_colimitation.csv","","","DIAGNOSTIC_ONLY","SUPPORTED","N2-current spatial overlap","NH3 production map or causal proof","correlative experimental maps"
"C16","Results","Donor-current overlap is generic and calibration-required.","DERIVED_DIAGNOSTIC","co-limitation table","results/tables/M10A4_spatial_colimitation.csv","","","DIAGNOSTIC_ONLY","SUPPORTED_WITH_LIMITATION","generic-donor/current spatial overlap","ethanol reaction-rate map","donor-specific transport validation"
"C17","Results","N2/Li+/donor/current categories form a threshold-sensitive spatial diagnostic.","DERIVED_DIAGNOSTIC","q=0.40/0.50/0.60 table","results/tables/M10A4_spatial_colimitation.csv","","","DIAGNOSTIC_ONLY","SUPPORTED","spatial co-limitation diagnostic","NH3 rate map, FE map, mechanistic proof","coupled reaction/experimental evidence"
"C18","Robustness","Coarse-to-medium maximum key difference is 0.0621400622644018.","NUMERICAL_VERIFICATION","mesh table","results/tables/M10A4_mesh_convergence.csv","","","PASS_WITH_LIMITATION","SUPPORTED_WITH_LIMITATION","mesh comparison passes with limitation","fully mesh-independent without limitation","additional refinement without changing physics"
"C19","Discussion","Model electrolyte ohmic resistance is 11.016992179201 ohm.","DERIVED_DIAGNOSTIC","resistance audit","results/tables/M10A4_resistance_audit.csv","","","DERIVED_DIAGNOSTIC","SUPPORTED_WITH_LIMITATION","model electrolyte ohmic-resistance diagnostic","predicted full-cell voltage or measured HFR","run-specific EIS/conductivity"
"C20","Limitations","Key ionic and donor parameters require calibration.","EXPERIMENTAL_CLAIM","provenance and calibration tables","results/tables/M10A4_calibration_required.csv","","","EVIDENCE_GAP","SUPPORTED","calibration is required before quantitative validation","parameters are experimentally calibrated","run-specific measurements"
"C21","Limitations","Paper V1 does not establish SEI, Li3N, Li-NRR, HER, or HOR mechanisms.","MECHANISTIC_CLAIM","physics/prohibited audit","evidence/M10A4/physics_inventory.csv","","","OUT_OF_SCOPE","UNSUPPORTED_IN_PAPER_V1_MODEL","these mechanisms are outside the model","SEI mechanism confirmed; Li3N mechanism confirmed; Li-NRR kinetics established","dedicated physics plus independent evidence"
"C22","Limitations","Paper V1 has an experimental-validation gap for spatial predictions.","EXPERIMENTAL_CLAIM","claim/provenance audit","paper/v1/MODEL_LIMITATIONS.csv","","","EVIDENCE_GAP","SUPPORTED","model predictions require independent experimental validation","validated real-cell prediction","spatial measurements and blinded comparisons"
